atc_index,atc_code
547,A10AB03
548,A10AB04
549,A10AB05
550,A10AB06
551,A10AB30
552,A10AC
553,A10AC01
554,A10AC02
555,A10AC03
556,A10AC04
557,A10AC30
558,A10AD
559,A10AD01
560,A10AD02
561,A10AD03
562,A10AD04
563,A10AD05
564,A10AD06
565,A10AD30
566,A10AE
567,A10AE01
568,A10AE02
569,A10AE03
570,A10AE04
571,A10AE05
572,A10AE06
573,A10AE30
574,A10AE54
575,A10AE56
576,A10AF
577,A10AF01
578,A10B
579,A10BA
580,A10BA01
581,A10BA02
582,A10BA03
583,A10BB
584,A10BB01
585,A10BB01
586,A10BB02
587,A10BB03
588,A10BB04
589,A10BB05
590,A10BB06
591,A10BB07
592,A10BB08
593,A10BB09
594,A10BB10
595,A10BB11
596,A10BB12
597,A10BB31
598,A10BC
599,A10BC01
600,A10BD
601,A10BD01
602,A10BD02
603,A10BD03
604,A10BD04
605,A10BD05
606,A10BD06
607,A10BD07
608,A10BD08
609,A10BD09
610,A10BD10
611,A10BD11
612,A10BD12
613,A10BD13
614,A10BD14
615,A10BD15
616,A10BD16
617,A10BD17
618,A10BD18
619,A10BD19
620,A10BD20
621,A10BD21
622,A10BD22
623,A10BD23
624,A10BD24
625,A10BD25
626,A10BD26
627,A10BF
628,A10BF01
629,A10BF02
630,A10BF03
631,A10BG
632,A10BG01
633,A10BG02
634,A10BG03
635,A10BG04
636,A10BH
637,A10BH01
638,A10BH02
639,A10BH03
640,A10BH04
641,A10BH05
642,A10BH06
643,A10BH07
644,A10BH08
645,A10BH51
646,A10BH52
647,A10BJ
648,A10BJ01
649,A10BJ01
650,A10BJ02
651,A10BJ03
652,A10BJ04
653,A10BJ05
654,A10BJ06
655,A10BJ07
656,A10BK
657,A10BK01
658,A10BK02
659,A10BK03
660,A10BK04
661,A10BK05
662,A10BK06
663,A10BK07
664,A10BX
665,A10BX01
666,A10BX02
667,A10BX03
668,A10BX05
669,A10BX06
670,A10BX08
671,A10X
672,A10XA
673,A10XA01
674,A11
675,A11A
676,A11AA
677,A11AA01
678,A11AA02
679,A11AA03
680,A11AA04
681,A11AB
682,A11B
683,A11BA
684,A11C
685,A11CA
686,A11CA01
687,A11CA01
688,A11CA02
689,A11CB
690,A11CC
691,A11CC01
692,A11CC02
693,A11CC03
694,A11CC03
695,A11CC04
696,A11CC04
697,A11CC05
698,A11CC06
699,A11CC20
700,A11CC55
701,A11D
702,A11DA
703,A11DA01
704,A11DA01
705,A11DA02
706,A11DA03
707,A11DB
708,A11E
709,A11EA
710,A11EB
711,A11EC
712,A11ED
713,A11EX
714,A11G
715,A11GA
716,A11GA01
717,A11GA01
718,A11GB
719,A11GB01
720,A11H
721,A11HA
722,A11HA01
723,A11HA02
724,A11HA02
725,A11HA03
726,A11HA03
727,A11HA04
728,A11HA05
729,A11HA06
730,A11HA07
731,A11HA08
732,A11HA30
733,A11HA31
734,A11HA32
735,A11J
736,A11JA
737,A11JB
738,A11JC
739,A12
740,A12A
741,A12AA
742,A12AA01
743,A12AA02
744,A12AA03
745,A12AA03
746,A12AA04
747,A12AA05
748,A12AA06
749,A12AA07
750,A12AA08
751,A12AA09
752,A12AA10
753,A12AA11
754,A12AA13
755,A12AA20
756,A12AA30
757,A12AX
758,A12B
759,A12BA
760,A12BA01
761,A12BA02
762,A12BA03
763,A12BA04
764,A12BA05
765,A12BA30
766,A12BA51
767,A12C
768,A12CA
769,A12CA01
770,A12CA02
771,A12CB
772,A12CB01
773,A12CB02
774,A12CB03
775,A12CC
776,A12CC01
777,A12CC01
778,A12CC02
779,A12CC02
780,A12CC03
781,A12CC04
782,A12CC05
783,A12CC06
784,A12CC07
785,A12CC08
786,A12CC09
787,A12CC10
788,A12CC30
789,A12CD
790,A12CD01
791,A12CD02
792,A12CD51
793,A12CE
794,A12CE01
795,A12CE02
796,A12CE02
797,A12CX
798,A13
799,A13A
800,A14
801,A14A
802,A14AA
803,A14AA01
804,A14AA02
805,A14AA02
806,A14AA03
807,A14AA04
808,A14AA04
809,A14AA05
810,A14AA06
811,A14AA07
812,A14AA08
813,A14AA09
814,A14AB
815,A14AB01
816,A14AB02
817,A14AB03
818,A14B
819,A15
820,A16
821,A16A
822,A16AA
823,A16AA01
824,A16AA01
825,A16AA02
826,A16AA03
827,A16AA04
828,A16AA05
829,A16AA06
830,A16AA07
831,A16AB
832,A16AB01
833,A16AB02
834,A16AB03
835,A16AB04
836,A16AB05
837,A16AB06
838,A16AB07
839,A16AB08
840,A16AB09
841,A16AB10
842,A16AB11
843,A16AB12
844,A16AB13
845,A16AB14
846,A16AB15
847,A16AB16
848,A16AB17
849,A16AB18
850,A16AB19
851,A16AX
852,A16AX01
853,A16AX01
854,A16AX02
855,A16AX03
856,A16AX04
857,A16AX05
858,A16AX06
859,A16AX07
860,A16AX08
861,A16AX09
862,A16AX10
863,A16AX11
864,A16AX12
865,A16AX13
866,A16AX14
867,A16AX15
868,A16AX16
869,A16AX17
870,A16AX18
871,A16AX30
872,B
873,B01
874,B01A
875,B01AA
876,B01AA01
877,B01AA02
878,B01AA03
879,B01AA03
880,B01AA04
881,B01AA07
882,B01AA08
883,B01AA09
884,B01AA10
885,B01AA11
886,B01AA12
887,B01AB
888,B01AB01
889,B01AB02
890,B01AB04
891,B01AB05
892,B01AB06
893,B01AB07
894,B01AB08
895,B01AB09
896,B01AB10
897,B01AB11
898,B01AB11
899,B01AB12
900,B01AB51
901,B01AC
902,B01AC01
903,B01AC02
904,B01AC03
905,B01AC04
906,B01AC05
907,B01AC06
908,B01AC07
909,B01AC07
910,B01AC08
911,B01AC09
912,B01AC10
913,B01AC11
