icd_index,CODE
1162,C172
1163,C173
1164,C178
1165,C179
1166,C180
1167,C181
1168,C182
1169,C183
1170,C184
1171,C185
1172,C186
1173,C187
1174,C188
1175,C189
1176,C19
1177,C20
1178,C210
1179,C211
1180,C212
1181,C218
1182,C220
1183,C221
1184,C222
1185,C223
1186,C224
1187,C227
1188,C228
1189,C229
1190,C23
1191,C240
1192,C241
1193,C248
1194,C249
1195,C250
1196,C251
1197,C252
1198,C253
1199,C254
1200,C257
1201,C258
1202,C259
1203,C260
1204,C261
1205,C269
1206,C300
1207,C301
1208,C310
1209,C311
1210,C312
1211,C313
1212,C318
1213,C319
1214,C320
1215,C321
1216,C322
1217,C323
1218,C328
1219,C329
1220,C33
1221,C3400
1222,C3401
1223,C3402
1224,C3410
1225,C3411
1226,C3412
1227,C342
1228,C3430
1229,C3431
1230,C3432
1231,C3480
1232,C3481
1233,C3482
1234,C3490
1235,C3491
1236,C3492
1237,C37
1238,C380
1239,C381
1240,C382
1241,C383
1242,C384
1243,C388
1244,C390
1245,C399
1246,C4000
1247,C4001
1248,C4002
1249,C4010
1250,C4011
1251,C4012
1252,C4020
1253,C4021
1254,C4022
1255,C4030
1256,C4031
1257,C4032
1258,C4080
1259,C4081
1260,C4082
1261,C4090
1262,C4091
1263,C4092
1264,C410
1265,C411
1266,C412
1267,C413
1268,C414
1269,C419
1270,C430
1271,C4310
1272,C4311
1273,C43111
1274,C43112
1275,C4312
1276,C43121
1277,C43122
1278,C4320
1279,C4321
1280,C4322
1281,C4330
1282,C4331
1283,C4339
1284,C434
1285,C4351
1286,C4352
1287,C4359
1288,C4360
1289,C4361
1290,C4362
1291,C4370
1292,C4371
1293,C4372
1294,C438
1295,C439
1296,C4400
1297,C4401
1298,C4402
1299,C4409
1300,C44101
1301,C44102
1302,C441021
1303,C441022
1304,C44109
1305,C441091
1306,C441092
1307,C44111
1308,C44112
1309,C441121
1310,C441122
1311,C44119
1312,C441191
1313,C441192
1314,C44121
1315,C44122
1316,C441221
1317,C441222
1318,C44129
1319,C441291
1320,C441292
1321,C44131
1322,C441321
1323,C441322
1324,C441391
1325,C441392
1326,C44191
1327,C44192
1328,C441921
1329,C441922
1330,C44199
1331,C441991
1332,C441992
1333,C44201
1334,C44202
1335,C44209
1336,C44211
1337,C44212
1338,C44219
1339,C44221
1340,C44222
1341,C44229
1342,C44291
1343,C44292
1344,C44299
1345,C44300
1346,C44301
1347,C44309
1348,C44310
1349,C44311
1350,C44319
1351,C44320
1352,C44321
1353,C44329
1354,C44390
1355,C44391
1356,C44399
1357,C4440
1358,C4441
1359,C4442
1360,C4449
1361,C44500
1362,C44501
1363,C44509
1364,C44510
1365,C44511
1366,C44519
1367,C44520
1368,C44521
1369,C44529
1370,C44590
1371,C44591
1372,C44599
1373,C44601
1374,C44602
1375,C44609
1376,C44611
1377,C44612
1378,C44619
1379,C44621
1380,C44622
1381,C44629
1382,C44691
1383,C44692
1384,C44699
1385,C44701
1386,C44702
1387,C44709
1388,C44711
1389,C44712
1390,C44719
1391,C44721
1392,C44722
1393,C44729
1394,C44791
1395,C44792
1396,C44799
1397,C4480
1398,C4481
1399,C4482
1400,C4489
1401,C4490
1402,C4491
1403,C4492
1404,C4499
1405,C450
1406,C451
1407,C452
1408,C457
1409,C459
1410,C460
1411,C461
1412,C462
1413,C463
1414,C464
1415,C4650
1416,C4651
1417,C4652
1418,C467
1419,C469
1420,C470
1421,C4710
1422,C4711
1423,C4712
1424,C4720
1425,C4721
1426,C4722
1427,C473
1428,C474
1429,C475
1430,C476
1431,C478
1432,C479
1433,C480
1434,C481
1435,C482
1436,C488
1437,C490
1438,C4910
1439,C4911
1440,C4912
1441,C4920
1442,C4921
1443,C4922
1444,C493
1445,C494
1446,C495
1447,C496
1448,C498
1449,C499
1450,C49A0
1451,C49A1
1452,C49A2
1453,C49A3
1454,C49A4
1455,C49A5
1456,C49A9
1457,C4A0
1458,C4A10
1459,C4A11
1460,C4A111
1461,C4A112
1462,C4A12
1463,C4A121
1464,C4A122
1465,C4A20
1466,C4A21
1467,C4A22
1468,C4A30
1469,C4A31
1470,C4A39
1471,C4A4
1472,C4A51
1473,C4A52
1474,C4A59
1475,C4A60
1476,C4A61
1477,C4A62
1478,C4A70
1479,C4A71
1480,C4A72
1481,C4A8
1482,C4A9
1483,C50011
1484,C50012
1485,C50019
1486,C50021
1487,C50022
1488,C50029
1489,C50111
1490,C50112
1491,C50119
1492,C50121
1493,C50122
1494,C50129
1495,C50211
1496,C50212
1497,C50219
1498,C50221
1499,C50222
1500,C50229
1501,C50311
1502,C50312
1503,C50319
1504,C50321
1505,C50322
1506,C50329
1507,C50411
1508,C50412
1509,C50419
1510,C50421
1511,C50422
1512,C50429
1513,C50511
1514,C50512
1515,C50519
1516,C50521
1517,C50522
1518,C50529
1519,C50611
1520,C50612
1521,C50619
1522,C50621
1523,C50622
1524,C50629
1525,C50811
1526,C50812
1527,C50819
1528,C50821
1529,C50822
1530,C50829
1531,C50911
1532,C50912
1533,C50919
1534,C50921
1535,C50922
1536,C50929
1537,C510
1538,C511
1539,C512
1540,C518
1541,C519
1542,C52
1543,C530
1544,C531
1545,C538
1546,C539
1547,C540
1548,C541
1549,C542
1550,C543
1551,C548
1552,C549
1553,C55
1554,C561
1555,C562
1556,C563
1557,C569
1558,C5700
1559,C5701
1560,C5702
1561,C5710
1562,C5711
1563,C5712
1564,C5720
1565,C5721
1566,C5722
1567,C573
1568,C574
1569,C577
1570,C578
1571,C579
1572,C58
1573,C600
1574,C601
1575,C602
1576,C608
1577,C609
1578,C61
1579,C6200
1580,C6201
1581,C6202
1582,C6210
1583,C6211
1584,C6212
1585,C6290
1586,C6291
1587,C6292
1588,C6300
1589,C6301
1590,C6302
1591,C6310
1592,C6311
1593,C6312
1594,C632
1595,C637
1596,C638
1597,C639
1598,C641
1599,C642
1600,C649
1601,C651
1602,C652
1603,C659
1604,C661
1605,C662
1606,C669
1607,C670
1608,C671
1609,C672
1610,C673
1611,C674
1612,C675
1613,C676
1614,C677
1615,C678
1616,C679
1617,C680
1618,C681
1619,C688
1620,C689
1621,C6900
1622,C6901
1623,C6902
1624,C6910
1625,C6911
1626,C6912
1627,C6920
1628,C6921
1629,C6922
1630,C6930
1631,C6931
1632,C6932
1633,C6940
1634,C6941
1635,C6942
1636,C6950
1637,C6951
1638,C6952
1639,C6960
1640,C6961
1641,C6962
1642,C6980
1643,C6981
1644,C6982
1645,C6990
1646,C6991
1647,C6992
1648,C700
1649,C701
1650,C709
1651,C710
1652,C711
1653,C712
1654,C713
1655,C714
1656,C715
1657,C716
1658,C717
1659,C718
1660,C719
1661,C720
1662,C721
1663,C7220
1664,C7221
1665,C7222
1666,C7230
1667,C7231
1668,C7232
1669,C7240
1670,C7241
1671,C7242
1672,C7250
1673,C7259
1674,C729
1675,C73
1676,C7400
1677,C7401
1678,C7402
1679,C7410
1680,C7411
1681,C7412
1682,C7490
1683,C7491
1684,C7492
1685,C750
1686,C751
1687,C752
1688,C753
1689,C754
1690,C755
1691,C758
1692,C759
1693,C760
1694,C761
1695,C762
1696,C763
1697,C7640
1698,C7641
1699,C7642
1700,C7650
1701,C7651
1702,C7652
1703,C768
1704,C770
1705,C771
1706,C772
1707,C773
1708,C774
1709,C775
1710,C778
1711,C779
1712,C7800
1713,C7801
1714,C7802
1715,C781
1716,C782
1717,C7830
1718,C7839
1719,C784
1720,C785
1721,C786
1722,C787
1723,C7880
1724,C7889
1725,C7900
1726,C7901
1727,C7902
1728,C7910
1729,C7911
1730,C7919
1731,C792
1732,C7931
1733,C7932
1734,C7940
1735,C7949
